instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
tsp_n80_4,80,1,nn,10,40,6,10,874.878,710.584,2429442,42576,60731,0.170727,10
tsp_n80_4,80,2,nn,10,40,6,10,803.672,710.584,2550427,7952,63754,0.0319492,10
tsp_n80_4,80,3,nn,10,40,6,10,848.029,710.584,2495746,4698,62391,0.0180668,10
tsp_n80_4,80,4,nn,10,40,6,10,784.097,710.584,2445909,5615,61142,0.0214373,10
tsp_n80_4,80,5,nn,10,40,6,10,836.495,710.584,2561157,51163,64019,0.199268,10
tsp_n80_5,80,1,nn,10,40,6,10,850.317,667.985,2418843,1325,60466,0.00544164,10
tsp_n80_5,80,2,nn,10,40,6,10,788.684,667.985,2429488,2639,60730,0.0107954,10
tsp_n80_5,80,3,nn,10,40,6,10,805.941,667.985,2464388,586,61606,0.00243181,10
tsp_n80_5,80,4,nn,10,40,6,10,792.201,667.985,2438551,6763,60955,0.0275492,10
tsp_n80_5,80,5,nn,10,40,6,10,781.946,667.985,2478294,49253,61947,0.19837,10
tsp_n90_1,90,1,nn,11,45,6,10,971.223,740.719,1980438,5682,44005,0.0291064,10
tsp_n90_1,90,2,nn,11,45,6,10,879.879,740.719,1932326,12656,42935,0.0622754,10
tsp_n90_1,90,3,nn,11,45,6,10,933.848,740.719,1976777,3092,43925,0.0155169,10
tsp_n90_1,90,4,nn,11,45,6,10,1021.69,740.719,1998437,14592,44400,0.0696214,10
tsp_n90_1,90,5,nn,11,45,6,10,981.806,740.719,1922934,2446,42723,0.0118853,10
tsp_n90_2,90,1,nn,11,45,6,10,819.353,698.131,1928742,1609,42856,0.00805686,10
tsp_n90_2,90,2,nn,11,45,6,10,908.909,698.131,2002214,3528,44488,0.0170435,10
tsp_n90_2,90,3,nn,11,45,6,10,872.515,698.131,1941159,2511,43133,0.0119788,10
tsp_n90_2,90,4,nn,11,45,6,10,805.192,698.131,1975672,1412,43899,0.00700493,10
tsp_n90_2,90,5,nn,11,45,6,10,851.7,698.131,2003831,1177,44523,0.00590011,10
tsp_n90_3,90,1,nn,11,45,6,10,939.497,741.45,1929953,23116,42883,0.116696,10
tsp_n90_3,90,2,nn,11,45,6,10,863.056,741.45,1967799,724,43725,0.00347867,10
