config,instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
wait2,calib_n50_2,50,3,nn,6,100,6,1000,765.949,590.914,50000,8848,499,0.0410217,0.223434
wait2,calib_n50_2,50,4,nn,6,100,6,1000,730.848,590.914,50000,6654,498,0.0298312,0.237593
wait2,calib_n50_2,50,5,nn,6,100,6,1000,777.571,590.914,50000,4735,498,0.0252259,0.260137
wait2,calib_n70_1,70,1,nn,8,140,6,1000,773.892,638.962,50000,2334,356,0.0226728,0.469662
wait2,calib_n70_1,70,2,nn,8,140,6,1000,737.485,638.962,50000,6557,356,0.0603564,0.461634
wait2,calib_n70_1,70,3,nn,8,140,6,1000,832.582,638.962,50000,1668,356,0.0152318,0.491615
wait2,calib_n70_1,70,4,nn,8,140,6,1000,808.48,638.962,50000,3876,356,0.0313403,0.418932
wait2,calib_n70_1,70,5,nn,8,140,6,1000,741.91,638.962,50000,1921,356,0.0196185,0.443378
wait2,calib_n70_2,70,1,nn,8,140,6,1000,779.269,656.37,50000,41802,355,0.375536,0.449202
wait2,calib_n70_2,70,2,nn,8,140,6,1000,766.936,656.37,50000,3604,356,0.0324453,0.480653
wait2,calib_n70_2,70,3,nn,8,140,6,1000,781.374,656.37,50000,19683,355,0.190126,0.483151
wait2,calib_n70_2,70,4,nn,8,140,6,1000,737.249,656.37,50000,1783,356,0.0161038,0.467016
wait2,calib_n70_2,70,5,nn,8,140,6,1000,786.138,656.37,50000,17483,356,0.161653,0.434728
wait5,calib_n100_1,100,1,nn,12,500,6,1000,985.693,749.21,50000,8739,99,0.176123,0.948084
wait5,calib_n100_1,100,2,nn,12,500,6,1000,960.815,743.104,50000,22170,99,0.404486,0.921137
wait5,calib_n100_1,100,3,nn,12,500,6,1000,900.617,745.587,50000,38922,99,0.682387,0.827038
wait5,calib_n100_1,100,4,nn,12,500,6,1000,883.571,746.624,50000,3422,99,0.0442088,0.594935
wait5,calib_n100_1,100,5,nn,12,500,6,1000,918.387,745.587,50000,17118,99,0.214262,0.576245
